staff_id,staff_name,shift_start,shift_end,section_assigned,tasks_completed,notes
S001,Sarah Johnson,2025-10-16T06:00:00Z,2025-10-16T14:00:00Z,A,12,Morning feeding and exercise routine completed
S002,Mike Chen,2025-10-16T06:30:00Z,2025-10-16T14:30:00Z,B,10,All pets fed and watered on schedule
S003,Emily Rodriguez,2025-10-16T07:00:00Z,2025-10-16T15:00:00Z,C,8,Grooming appointments completed for 4 pets
S004,David Thompson,2025-10-16T14:00:00Z,2025-10-16T22:00:00Z,A,9,Evening care and facility cleanup
S005,Lisa Park,2025-10-16T14:30:00Z,2025-10-16T22:30:00Z,B,11,Medication administration and health checks
S006,Robert Kim,2025-10-16T15:00:00Z,2025-10-16T23:00:00Z,C,7,Evening exercise and enrichment activities
S007,Dr. Maria Gonzalez,2025-10-16T09:00:00Z,2025-10-16T17:00:00Z,A,6,Veterinary examinations and treatments
S008,Jake Wilson,2025-10-16T10:00:00Z,2025-10-16T18:00:00Z,B,8,Training sessions and behavioral assessments
S009,Amanda Foster,2025-10-16T16:00:00Z,2025-10-17T00:00:00Z,C,5,Night shift monitoring and emergency care
S010,Carlos Martinez,2025-10-16T22:00:00Z,2025-10-17T06:00:00Z,A,7,Overnight security and health monitoring
S001,Sarah Johnson,2025-10-15T06:00:00Z,2025-10-15T14:00:00Z,A,15,Busy morning with new admissions
S002,Mike Chen,2025-10-15T06:30:00Z,2025-10-15T14:30:00Z,B,13,Extra feeding rounds for special diets
S003,Emily Rodriguez,2025-10-15T07:00:00Z,2025-10-15T15:00:00Z,C,11,Multiple grooming sessions for adoption event
S004,David Thompson,2025-10-15T14:00:00Z,2025-10-15T22:00:00Z,A,10,Facility maintenance and deep cleaning
S005,Lisa Park,2025-10-15T14:30:00Z,2025-10-15T22:30:00Z,B,14,Medical rounds and medication dispensing
S006,Robert Kim,2025-10-15T15:00:00Z,2025-10-15T23:00:00Z,C,9,Exercise programs and enrichment activities
S007,Dr. Maria Gonzalez,2025-10-15T08:00:00Z,2025-10-15T16:00:00Z,B,8,Surgery day - spay/neuter procedures
S008,Jake Wilson,2025-10-15T10:00:00Z,2025-10-15T18:00:00Z,A,12,Group training sessions and individual assessments
S009,Amanda Foster,2025-10-15T16:00:00Z,2025-10-16T00:00:00Z,C,6,Quiet night shift with sick pet monitoring
S010,Carlos Martinez,2025-10-15T22:00:00Z,2025-10-16T06:00:00Z,B,8,Night patrols and emergency response
S011,Jessica Lee,2025-10-15T08:00:00Z,2025-10-15T16:00:00Z,A,9,Volunteer coordination and adoption interviews
S012,Tom Brady,2025-10-15T12:00:00Z,2025-10-15T20:00:00Z,C,7,Part-time shift covering lunch break coverage
S001,Sarah Johnson,2025-10-14T06:00:00Z,2025-10-14T14:00:00Z,A,11,Standard morning routine
S002,Mike Chen,2025-10-14T06:30:00Z,2025-10-14T14:30:00Z,B,9,Feeding and basic care tasks
S003,Emily Rodriguez,2025-10-14T07:00:00Z,2025-10-14T15:00:00Z,C,10,Grooming and hygiene maintenance
S004,David Thompson,2025-10-14T14:00:00Z,2025-10-14T22:00:00Z,A,8,Afternoon care and cleaning duties
S005,Lisa Park,2025-10-14T14:30:00Z,2025-10-14T22:30:00Z,B,12,Medical care and health monitoring
S006,Robert Kim,2025-10-14T15:00:00Z,2025-10-14T23:00:00Z,C,6,Exercise and recreation programs
