staff_id,staff_name,shift_start,shift_end,section_assigned,tasks_completed,notes,shift_duration_hours,shift_type,tasks_per_hour
S001,Sarah Johnson,2025-10-16 06:00:00+00:00,2025-10-16 14:00:00+00:00,A,12,Morning feeding and exercise routine completed,8.0,morning,1.5
S002,Mike Chen,2025-10-16 06:30:00+00:00,2025-10-16 14:30:00+00:00,B,10,All pets fed and watered on schedule,8.0,morning,1.25
S003,Emily Rodriguez,2025-10-16 07:00:00+00:00,2025-10-16 15:00:00+00:00,C,8,Grooming appointments completed for 4 pets,8.0,morning,1.0
S004,David Thompson,2025-10-16 14:00:00+00:00,2025-10-16 22:00:00+00:00,A,9,Evening care and facility cleanup,8.0,afternoon,1.125
S005,Lisa Park,2025-10-16 14:30:00+00:00,2025-10-16 22:30:00+00:00,B,11,Medication administration and health checks,8.0,afternoon,1.375
S006,Robert Kim,2025-10-16 15:00:00+00:00,2025-10-16 23:00:00+00:00,C,7,Evening exercise and enrichment activities,8.0,afternoon,0.875
S007,Dr. Maria Gonzalez,2025-10-16 09:00:00+00:00,2025-10-16 17:00:00+00:00,A,6,Veterinary examinations and treatments,8.0,morning,0.75
S008,Jake Wilson,2025-10-16 10:00:00+00:00,2025-10-16 18:00:00+00:00,B,8,Training sessions and behavioral assessments,8.0,morning,1.0
S009,Amanda Foster,2025-10-16 16:00:00+00:00,2025-10-17 00:00:00+00:00,C,5,Night shift monitoring and emergency care,8.0,afternoon,0.625
S010,Carlos Martinez,2025-10-16 22:00:00+00:00,2025-10-17 06:00:00+00:00,A,7,Overnight security and health monitoring,8.0,night,0.875
S001,Sarah Johnson,2025-10-15 06:00:00+00:00,2025-10-15 14:00:00+00:00,A,15,Busy morning with new admissions,8.0,morning,1.875
S002,Mike Chen,2025-10-15 06:30:00+00:00,2025-10-15 14:30:00+00:00,B,13,Extra feeding rounds for special diets,8.0,morning,1.625
S003,Emily Rodriguez,2025-10-15 07:00:00+00:00,2025-10-15 15:00:00+00:00,C,11,Multiple grooming sessions for adoption event,8.0,morning,1.375
S004,David Thompson,2025-10-15 14:00:00+00:00,2025-10-15 22:00:00+00:00,A,10,Facility maintenance and deep cleaning,8.0,afternoon,1.25
S005,Lisa Park,2025-10-15 14:30:00+00:00,2025-10-15 22:30:00+00:00,B,14,Medical rounds and medication dispensing,8.0,afternoon,1.75
S006,Robert Kim,2025-10-15 15:00:00+00:00,2025-10-15 23:00:00+00:00,C,9,Exercise programs and enrichment activities,8.0,afternoon,1.125
S007,Dr. Maria Gonzalez,2025-10-15 08:00:00+00:00,2025-10-15 16:00:00+00:00,B,8,Surgery day - spay/neuter procedures,8.0,morning,1.0
S008,Jake Wilson,2025-10-15 10:00:00+00:00,2025-10-15 18:00:00+00:00,A,12,Group training sessions and individual assessments,8.0,morning,1.5
S009,Amanda Foster,2025-10-15 16:00:00+00:00,2025-10-16 00:00:00+00:00,C,6,Quiet night shift with sick pet monitoring,8.0,afternoon,0.75
S010,Carlos Martinez,2025-10-15 22:00:00+00:00,2025-10-16 06:00:00+00:00,B,8,Night patrols and emergency response,8.0,night,1.0
S011,Jessica Lee,2025-10-15 08:00:00+00:00,2025-10-15 16:00:00+00:00,A,9,Volunteer coordination and adoption interviews,8.0,morning,1.125
S012,Tom Brady,2025-10-15 12:00:00+00:00,2025-10-15 20:00:00+00:00,C,7,Part-time shift covering lunch break coverage,8.0,morning,0.875
S001,Sarah Johnson,2025-10-14 06:00:00+00:00,2025-10-14 14:00:00+00:00,A,11,Standard morning routine,8.0,morning,1.375
